"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: City","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Other Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Serovar subtype","Assay: Other serovar subtype","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Study Type","FIND Evaluation","Assay Target","Assay: Health Level","Total number of samples","Number of positive samples","Number of negative samples","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Created By: Full Name","Last Modified By: Full Name","Instrument: Instrument ID","Instrument: Instrument Name"
"a2v69000004gLiB","a2r69000007lbVW","a266900000BsdBp","13.07.2023","Canada","London","Region of the Americas","eng.uwo.ca/chemical/faculty/zhang_j","Western University","Quick detection of COVID-19 by using Ab-based Self-Luminiscent biosensor","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Fluorescence","Rapid diagnostic test (strip or cassette)","Self-Luminiscent biosensor","A proprietary/new instrument is required","Manual","near Point of Care","Intended for professional use only","Unknown","","Not applicable","","","Yes","No","Company-Sponsored","No","Antigen","L1: Primary Care","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLcL","a2r69000007lbH8","a266900000BsdCF","06.07.2023","China","Wuhan","Western Pacific Region","mdeasydiagnosis.com","Wuhan EasyDiagnosis Biomedicine Co., Ltd.","Monkeypox Virus DNA Real Time Diagnostic Kit","Diagnostic/confirmatory test","ID","Mpox","Mpox virus","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Molecular","DNA","Unknown","qPCR","","Fluorescence","NAT reagent kit (open source)","","A proprietary/new instrument is optional","Manual","Lab-based","Intended for professional use only","Lesion crusts; Lesion swab; Serum; Whole Blood","","Unspecified","","30.00","Yes","No","Company-Sponsored","No","DNA","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLcP","a2r69000007lc1q","a266900000BsdCJ","06.07.2023","China","Wuhan","Western Pacific Region","mdeasydiagnosis.com","Wuhan EasyDiagnosis Biomedicine Co., Ltd.","COVID-19 (SARS-CoV-2) Nucleic Acid Test Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Status Unknown","WHO EUL Under Assessment","","Already on the market (commercialized)","Molecular","RNA","N gene; ORF1a","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Sputum","","Not applicable","","90.00","Yes","No","Company-Sponsored","No","RNA","L2: District Hospital Lab","958","272","307","97.79","95.27","98.99","99.35","97.66","97.66","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLcP","a2r69000007lc1q","a266900000BsdCK","06.07.2023","China","Wuhan","Western Pacific Region","mdeasydiagnosis.com","Wuhan EasyDiagnosis Biomedicine Co., Ltd.","COVID-19 (SARS-CoV-2) Nucleic Acid Test Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Status Unknown","WHO EUL Under Assessment","","Already on the market (commercialized)","Molecular","RNA","N gene; ORF1a","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Sputum","","Not applicable","","90.00","Yes","No","Company-Sponsored","No","RNA","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLd0","a2r69000007lbgN","a266900000BsdCy","06.07.2023","China","Xiamen","Western Pacific Region","bosonbio.com","Xiamen Boson Biotech Co., ltd.","Rapid Dengue IgG/IgM Combo Test i","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-DENV IgG; Anti-DENV IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","20.00","Yes","No","Company-Sponsored","No","Antibody (serological)","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLcw","a2r69000007lbgJ","a266900000BsdDP","06.07.2023","China","Xiamen","Western Pacific Region","bosonbio.com","Xiamen Boson Biotech Co., ltd.","Dengue IgG/IgM Combo Test Card","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-DENV IgG; Anti-DENV IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","","Yes","No","Company-Sponsored","No","Antibody (serological)","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLcv","a2r69000007lbgI","a266900000BsdDQ","06.07.2023","China","Xiamen","Western Pacific Region","bosonbio.com","Xiamen Boson Biotech Co., ltd.","Dengue IgG/IgM Combo Self Test Kit","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","Anti-DENV IgG; Anti-DENV IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Plasma; Serum; Whole Blood","","Unspecified","","20.00","Yes","No","Company-Sponsored","No","Antibody (serological)","Self-Testing","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLcy","a2r69000007lbgL","a266900000BsdDR","06.07.2023","China","Xiamen","Western Pacific Region","bosonbio.com","Xiamen Boson Biotech Co., ltd.","Dengue NS1 Antigen Test Card","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Immunoassay","Antigen","DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","","Yes","No","Company-Sponsored","No","Antigen","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLcx","a2r69000007lbgK","a266900000BsdDS","06.07.2023","China","Xiamen","Western Pacific Region","bosonbio.com","Xiamen Boson Biotech Co., ltd.","Dengue NS1 Antigen and IgG/IgM AntibodyDuo Panel Test Card","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Immunoassay","Antibody (serological) + Antigen","Anti-DENV IgG; Anti-DENV IgM; DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","","Yes","No","Company-Sponsored","No","Antibody (serological)","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLcz","a2r69000007lbgM","a266900000BsdDT","06.07.2023","China","Xiamen","Western Pacific Region","bosonbio.com","Xiamen Boson Biotech Co., ltd.","Dengue NS1 Antigen Test Strip","Diagnostic/confirmatory test","ID","Dengue fever","Dengue virus","Regulatory Status Unknown","Unknown","","Already on the market (commercialized)","Immunoassay","Antigen","DENV NS1","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Unspecified","","","Yes","No","Company-Sponsored","No","Antigen","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
