"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: City","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Other Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Serovar subtype","Assay: Other serovar subtype","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Study Type","FIND Evaluation","Assay Target","Assay: Health Level","Total number of samples","Number of positive samples","Number of negative samples","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Created By: Full Name","Last Modified By: Full Name","Instrument: Instrument ID","Instrument: Instrument Name"
"a2v69000004gLVv","a2r69000007lbVY","a266900000Bscz8","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","SARS-CoV-2 Nucleic Acid Test","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","WHO EUL","","Already on the market (commercialized)","Molecular","RNA","E gene; N gene; ORF1ab","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Bronchoalveolar lavage; Nasopharyngeal swab; Sputum; Other","","Not applicable","","","Yes","No","Independent","Yes","RNA","L2: District Hospital Lab","150","50","100","100.00","93.00","100.00","100.00","96.00","100.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVv","a2r69000007lbVY","a266900000Bscz9","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","SARS-CoV-2 Nucleic Acid Test","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","WHO EUL","","Already on the market (commercialized)","Molecular","RNA","E gene; N gene; ORF1ab","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Bronchoalveolar lavage; Nasopharyngeal swab; Sputum; Other","","Not applicable","","","Yes","No","Company-Sponsored","No","RNA","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVx","a2r69000007lbmF","a266900000BsczB","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","Diagnostic Kit for SARS-CoV-2 IgG/IgM Antibody (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","128","24","104","45.83","27.89","64.93","80.77","72.06","87.24","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVx","a2r69000007lbmF","a266900000BsczC","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","Diagnostic Kit for SARS-CoV-2 IgG/IgM Antibody (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","126","24","102","41.67","24.47","61.17","96.08","90.01","98.52","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVx","a2r69000007lbmF","a266900000BsczD","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","Diagnostic Kit for SARS-CoV-2 IgG/IgM Antibody (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","128","24","104","45.83","27.89","64.93","79.81","71.00","86.45","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVx","a2r69000007lbmF","a266900000BsczE","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","Diagnostic Kit for SARS-CoV-2 IgG/IgM Antibody (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","129","25","104","72.00","52.42","85.72","80.77","72.06","87.24","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVx","a2r69000007lbmF","a266900000BsczF","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","Diagnostic Kit for SARS-CoV-2 IgG/IgM Antibody (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","127","25","102","76.00","56.57","88.50","96.08","90.01","98.52","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVx","a2r69000007lbmF","a266900000BsczG","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","Diagnostic Kit for SARS-CoV-2 IgG/IgM Antibody (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","129","25","104","76.00","56.57","88.50","79.81","71.00","86.45","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVx","a2r69000007lbmF","a266900000BsczH","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","Diagnostic Kit for SARS-CoV-2 IgG/IgM Antibody (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","142","38","104","50.00","34.85","65.15","80.77","72.06","87.24","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVx","a2r69000007lbmF","a266900000BsczI","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","Diagnostic Kit for SARS-CoV-2 IgG/IgM Antibody (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","142","40","102","87.50","73.89","94.54","96.08","90.01","98.52","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVx","a2r69000007lbmF","a266900000BsczJ","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","Diagnostic Kit for SARS-CoV-2 IgG/IgM Antibody (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","144","40","104","92.50","80.14","97.42","79.81","71.00","86.45","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVx","a2r69000007lbmF","a266900000BsczK","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","Diagnostic Kit for SARS-CoV-2 IgG/IgM Antibody (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","","Yes","No","Company-Sponsored","No","Antibody (serological)","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVx","a2r69000007lbmF","a266900000BsczL","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","Diagnostic Kit for SARS-CoV-2 IgG/IgM Antibody (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","191","87","104","55.17","44.72","65.18","80.77","72.06","87.24","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVx","a2r69000007lbmF","a266900000BsczM","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","Diagnostic Kit for SARS-CoV-2 IgG/IgM Antibody (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","191","89","102","71.91","61.82","80.19","96.08","90.01","98.52","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVx","a2r69000007lbmF","a266900000BsczN","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","Diagnostic Kit for SARS-CoV-2 IgG/IgM Antibody (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; WHO EUL Under Assessment","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","193","89","104","75.28","65.40","83.07","79.81","71.00","86.45","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVw","a2r69000007lbjn","a266900000BsczO","06.07.2023","China","Shanghai","Western Pacific Region","skhb.com","Shanghai Kehua Bio-engineering Co., ltd.","Diagnostic Kit for COVID-19 Antigen Test (Colloidal Gold)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","WHO EUL","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab","","Not applicable","","","Yes","No","Company-Sponsored","No","Antigen","L0: Community","0","0","0","96.50","0.00","0.00","98.30","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLVy","a2r69000007lbvi","a266900000BsczP","06.07.2023","China","Shanghai","Western Pacific Region","not on website, will send separately EN: ISO 13485: 2016","Shanghai LiangRun Biomedicine Technology Co. ltd.","LionRun SARS-CoV-2 Antigen Rapid Test (Lateral Flow Immunoassay)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab; Oropharyngeal swab","","Not applicable","","15.00","Yes","No","Company-Sponsored","No","Antigen","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLW0","a2r69000007lbWE","a266900000BsczQ","06.07.2023","China","Shanghai","Western Pacific Region","rdbio.com","Shanghai Rendu Biotechnology Co., ltd.","AmpSure 2019-nCov RNA Assay","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Molecular","RNA","Unknown","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Fully automated (including sample preparation)","Lab-based","Intended for professional use only","Oropharyngeal swab; Sputum","","Not applicable","","","Yes","No","Company-Sponsored","No","RNA","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLW1","a2r69000007lb76","a266900000BsczY","06.07.2023","United States","La Jolla","Region of the Americas","liferiverbiotech.com","Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.","Novel Coronavirus (2019-nCoV) Real Time Multiplex RT-PCR Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","Australia TGA; CE-IVDD; China NMPA; India CDSCO; Malaysia MDA; South Africa SAHPRA; Other","Malaysia, MDA","Already on the market (commercialized)","Molecular","RNA","E gene; N gene; ORF1ab","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Sputum","","Not applicable","","60.00","Yes","No","Company-Sponsored","No","RNA","L2: District Hospital Lab","252","112","140","100.00","0.00","0.00","100.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLW3","a2r69000007lbtj","a266900000BsczZ","06.07.2023","United States","La Jolla","Region of the Americas","liferiverbiotech.com","Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.","ebolavirus (EBOV) Real Time RT-PCR Kit","Diagnostic/confirmatory test","ID","Ebola fever","Ebola virus","Regulatory Achieved","CE-IVDD; China NMPA","","Already on the market (commercialized)","Molecular","RNA","Unknown","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Purified RNA","","Zaire ebolavirus","","","Yes","No","Company-Sponsored","No","RNA","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLW5","a2r69000007lba3","a266900000Bsczb","06.07.2023","United States","La Jolla","Region of the Americas","liferiverbiotech.com","Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.","Salmonella&Staphylococcus Aureus&Listeria Monocytogenes Multiplex Real Time PCR","Diagnostic/confirmatory test","ID","Enteric fever; Typhoid fever","Unknown","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Molecular","DNA","Unknown","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Unknown","","Unspecified","","","Yes","No","Company-Sponsored","No","DNA","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLW4","a2r69000007lboe","a266900000Bsczc","06.07.2023","United States","La Jolla","Region of the Americas","liferiverbiotech.com","Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.","Novel Coronavirus (SARS-CoV-2) Real-Time Multiplex RT-PCR Kit","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD; Health Canada; WHO EUL","","Already on the market (commercialized)","Molecular","RNA","E gene; N gene; ORF1ab","qPCR","","Fluorescence","NAT reagent kit (open source)","","Standard lab instrumentation is required","Manual","Lab-based","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab; Sputum","","Not applicable","","60.00","Yes","No","Company-Sponsored","No","RNA","L2: District Hospital Lab","167","51","116","90.20","78.59","96.74","98.28","93.91","100.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKfy","a2r69000007lbti","a266900000Bsczd","06.07.2023","United States","La Jolla","Region of the Americas","liferiverbiotech.com","Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.","ebolavirus (EBOV) Real Time RT-PCR Kit light-cycler","Diagnostic/confirmatory test","ID","Ebola fever","Ebola virus","Regulatory Achieved","CE-IVDD; China NMPA","","Already on the market (commercialized)","Molecular","RNA","Unknown","qPCR","","Fluorescence","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Purified RNA","","Zaire ebolavirus","","","Yes","No","Company-Sponsored","No","","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","a2s690000019KEf","Lightcycler 96 system"
"a2v69000004gKfz","a2r69000007lbti","a266900000Bscze","06.07.2023","United States","La Jolla","Region of the Americas","liferiverbiotech.com","Liferiver Bio-Tech (US) Corp. / Shanghai ZJ Bio-Tech Co., Ltd.","ebolavirus (EBOV) Real Time RT-PCR Kit light-cycler","Diagnostic/confirmatory test","ID","Ebola fever","Ebola virus","Regulatory Achieved","CE-IVDD; China NMPA","","Already on the market (commercialized)","Molecular","RNA","Unknown","qPCR","","Fluorescence","NAT reagent kit (proprietary platform)","","A proprietary/new instrument is required","Manual","Lab-based","Intended for professional use only","Purified RNA","","Zaire ebolavirus","","","Yes","No","Company-Sponsored","No","","L2: District Hospital Lab","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","a2s690000019K0t","Lightcycler 480 system"
"a2v69000004gLWH","a2r69000007lbGf","a266900000Bsczk","06.07.2023","China","Shenzhen","Western Pacific Region","aivdbiotech.cn/index.php/en/Page/list/250.html","Shenzhen AIVD Biotech Inc","SARS-CoV-2 Antigen Detection Kit (Latex Lateral Flow Assay)","Diagnostic/confirmatory test","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antigen","N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasopharyngeal swab; Oropharyngeal swab","","Not applicable","","15.00","Yes","No","Company-Sponsored","No","Antigen","L0: Community","230","60","170","93.00","83.52","96.63","98.92","95.46","99.47","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLWI","a2r69000007lbJG","a266900000Bsczl","06.07.2023","China","Shenzhen","Western Pacific Region","bioeasy.com","Shenzhen Bioeasy Biotechnology Co., ltd.","BIOEASY-2019-nCoV Total Ab GICA Rapid Test","Triage/Screening","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","10.00","Yes","No","Company-Sponsored","No","Antibody (serological)","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLWI","a2r69000007lbJG","a266900000Bsczm","06.07.2023","China","Shenzhen","Western Pacific Region","bioeasy.com","Shenzhen Bioeasy Biotechnology Co., ltd.","BIOEASY-2019-nCoV Total Ab GICA Rapid Test","Triage/Screening","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","10.00","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","317","88","229","44.50","72.78","19.38","93.04","97.29","83.23","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLWI","a2r69000007lbJG","a266900000Bsczn","06.07.2023","China","Shenzhen","Western Pacific Region","bioeasy.com","Shenzhen Bioeasy Biotechnology Co., ltd.","BIOEASY-2019-nCoV Total Ab GICA Rapid Test","Triage/Screening","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","10.00","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","317","88","229","49.93","69.82","30.06","90.90","95.07","83.81","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLWI","a2r69000007lbJG","a266900000Bsczo","06.07.2023","China","Shenzhen","Western Pacific Region","bioeasy.com","Shenzhen Bioeasy Biotechnology Co., ltd.","BIOEASY-2019-nCoV Total Ab GICA Rapid Test","Triage/Screening","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","10.00","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","317","88","229","47.79","71.12","25.39","91.35","95.16","85.00","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLWI","a2r69000007lbJG","a266900000Bsczp","06.07.2023","China","Shenzhen","Western Pacific Region","bioeasy.com","Shenzhen Bioeasy Biotechnology Co., ltd.","BIOEASY-2019-nCoV Total Ab GICA Rapid Test","Triage/Screening","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","10.00","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","128","24","104","66.67","46.71","82.03","87.50","79.65","92.60","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLWI","a2r69000007lbJG","a266900000Bsczq","06.07.2023","China","Shenzhen","Western Pacific Region","bioeasy.com","Shenzhen Bioeasy Biotechnology Co., ltd.","BIOEASY-2019-nCoV Total Ab GICA Rapid Test","Triage/Screening","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","10.00","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","128","24","104","66.67","46.71","82.03","86.54","78.54","91.86","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gLWI","a2r69000007lbJG","a266900000Bsczr","06.07.2023","China","Shenzhen","Western Pacific Region","bioeasy.com","Shenzhen Bioeasy Biotechnology Co., ltd.","BIOEASY-2019-nCoV Total Ab GICA Rapid Test","Triage/Screening","ID","Covid-19; Pneumonia","SARS-CoV-2","Regulatory Achieved","CE-IVDD","","Already on the market (commercialized)","Immunoassay","Antibody (serological)","IgG; IgM","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Plasma; Serum; Whole Blood","","Not applicable","","10.00","Yes","No","Independent","Yes","Antibody (serological)","L0: Community","141","37","104","54.05","38.38","68.96","87.50","79.65","92.60","Victoria Aroworade","Victoria Aroworade","",""
